study_id,kernel,orig_pixels,eroded_pixels,lost_pixels,lost_pct
01_01,5,21086,19034,2052,9.731575452907142
01_01,9,21086,17023,4063,19.26870909608271
01_01,10,21086,16527,4559,21.620980745518352
01_02,5,13998,12328,1670,11.930275753679098
01_02,9,13998,10707,3291,23.510501500214318
01_02,10,13998,10308,3690,26.360908701243034
01_03,5,16032,14281,1751,10.921906187624751
01_03,9,16032,12569,3463,21.60054890219561
01_03,10,16032,12147,3885,24.232784431137723
01_04,5,13044,11401,1643,12.595829500153327
01_04,9,13044,9813,3231,24.770009199632014
01_04,10,13044,9423,3621,27.75988960441582
01_05,5,7983,6691,1292,16.18439183264437
01_05,9,7983,5447,2536,31.767505950144056
01_05,10,7983,5144,2839,35.56307152699486
02_01,5,49549,46850,2699,5.447133140931199
02_01,9,49549,44203,5346,10.789319663363539
02_01,10,49549,43549,6000,12.10922521140689
02_02,5,6108,5219,889,14.554682383759005
02_02,9,6108,4377,1731,28.339882121807467
02_02,10,6108,4176,1932,31.63064833005894
03_01,5,38248,35486,2762,7.221292616607404
03_01,9,38248,32770,5478,14.322317506797742
03_01,10,38248,32099,6149,16.076657603011924
03_02,5,27929,25619,2310,8.270972823946435
03_02,9,27929,23368,4561,16.33069569264922
03_02,10,27929,22812,5117,18.321457982741954
04_01,5,17205,15487,1718,9.98546934030805
04_01,9,17205,13815,3390,19.70357454228422
04_01,10,17205,13404,3801,22.0924149956408
05_01,5,23111,21272,1839,7.957249794470166
05_01,9,23111,19475,3636,15.73276794599974
05_01,10,23111,19032,4079,17.649604084635023
05_02,5,33745,31689,2056,6.092754482145503
05_02,9,33745,29675,4070,12.061046080900875
05_02,10,33745,29178,4567,13.5338568676841
05_03,5,19418,17649,1769,9.110104027191266
05_03,9,19418,15936,3482,17.931815840972295
05_03,10,19418,15517,3901,20.089607580595324
06_01,5,24068,22142,1926,8.00232674090078
06_01,9,24068,20252,3816,15.855077281037062
06_01,10,24068,19785,4283,17.79541299650989
06_02,5,25978,23847,2131,8.203094926476249
06_02,9,25978,21758,4220,16.24451458926784
06_02,10,25978,21243,4735,18.226961274924935
06_03,5,10325,8774,1551,15.021791767554479
06_03,9,10325,7266,3059,29.627118644067796
06_03,10,10325,6895,3430,33.220338983050844
06_04,5,9279,7940,1339,14.430434314042461
06_04,9,9279,6651,2628,28.322017458777886
06_04,10,9279,6337,2942,31.70600280202608
07_01,5,17173,15345,1828,10.644616549234263
07_01,9,17173,13565,3608,21.009724567635242
07_01,10,17173,13127,4046,23.560239911488964
07_02,5,8078,6744,1334,16.513988611042336
07_02,9,8078,5456,2622,32.45852933894528
07_02,10,8078,5141,2937,36.358009408269375
07_03,5,10926,9383,1543,14.122277137104156
07_03,9,10926,7895,3031,27.74116785648911
07_03,10,10926,7530,3396,31.081823174080174
08_01,5,10202,8501,1701,16.673201333071948
08_01,9,10202,6863,3339,32.728876690844935
08_01,10,10202,6463,3739,36.64967653401294
09_01,5,25955,23773,2182,8.406858023502215
09_01,9,25955,21634,4321,16.64804469273743
09_01,10,25955,21106,4849,18.682334810248506
09_02,5,6831,5962,869,12.721417069243156
09_02,9,6831,5141,1690,24.740155174937783
09_02,10,6831,4944,1887,27.624066754501538
09_03,5,20626,18765,1861,9.022592843983322
09_03,9,20626,16949,3677,17.82701444778435
09_03,10,20626,16502,4124,19.994182100261806
09_04,5,17548,15439,2109,12.01846364258035
09_04,9,17548,13373,4175,23.791885115112834
09_04,10,17548,12864,4684,26.692500569865512
09_05,5,11233,10232,1001,8.911243657081812
09_05,9,11233,9269,1964,17.484198344164515
09_05,10,11233,9034,2199,19.576248553369535
10_01,5,26746,24931,1815,6.786061467135273
10_01,9,26746,23168,3578,13.377701338517909
10_01,10,26746,22734,4012,15.00037388768414
10_02,5,19507,18221,1286,6.592505254524017
10_02,9,19507,16975,2532,12.979955913261906
10_02,10,19507,16670,2837,14.543497206131132
10_03,5,28353,26365,1988,7.011603710365746
10_03,9,28353,24419,3934,13.875074947977286
10_03,10,28353,23938,4415,15.571544457376644
10_04,5,20245,18587,1658,8.189676463324277
10_04,9,20245,16971,3274,16.171894294887625
10_04,10,20245,16574,3671,18.132872314151644
11_02,5,29186,26774,2412,8.264236277667374
11_02,9,29186,24412,4774,16.35715754128692
11_02,10,29186,23831,5355,18.347838004522718
12_01,5,12756,11669,1087,8.52148008780182
12_01,9,12756,10625,2131,16.705863907180934
12_01,10,12756,10371,2385,18.69708372530574
12_02,5,9562,8371,1191,12.455553231541518
12_02,9,9562,7221,2341,24.482325873248275
12_02,10,9562,6940,2622,27.421041623091405
12_03,5,9172,8069,1103,12.025730484081988
12_03,9,9172,7008,2164,23.59354557348452
12_03,10,9172,6749,2423,26.41735717400785
12_04,5,36942,34842,2100,5.684586649342212
12_04,9,36942,32780,4162,11.266309349791564
12_04,10,36942,32270,4672,12.646851821774673
13_01,5,13041,11942,1099,8.427267847557703
13_01,9,13041,10880,2161,16.57081512153976
13_01,10,13041,10621,2420,18.556859136569283
13_02,5,26445,24033,2412,9.120816789563245
13_02,9,26445,21665,4780,18.07525051994706
13_02,10,26445,21079,5366,20.291170353564002
13_03,5,38181,35239,2942,7.7054032110211885
13_03,9,38181,32345,5836,15.285089442392813
13_03,10,38181,31630,6551,17.157748618422776
14_01,5,5511,4436,1075,19.506441662130285
14_01,9,5511,3400,2111,38.30520776628561
14_01,10,5511,3149,2362,42.85973507530394
14_02,5,25479,23671,1808,7.096039875976294
14_02,9,25479,21905,3574,14.027238117665528
14_02,10,25479,21470,4009,15.734526472781507
14_03,5,54790,52012,2778,5.070268297134514
14_03,9,54790,49273,5517,10.069355721847053
14_03,10,54790,48595,6195,11.306807811644461
14_04,5,16003,14220,1783,11.141660938574017
14_04,9,16003,12500,3503,21.889645691432857
14_04,10,16003,12078,3925,24.526651252890083
14_05,5,17188,15565,1623,9.442634396090295
14_05,9,17188,13985,3203,18.635094251803583
14_05,10,17188,13597,3591,20.892483127763555
14_06,5,13019,11665,1354,10.40018434595591
14_06,9,13019,10353,2666,20.477763269068284
14_06,10,13019,10032,2987,22.943390429372457
15_01,5,25712,24009,1703,6.623366521468575
15_01,9,25712,22357,3355,13.04838207840697
15_01,10,25712,21952,3760,14.62352209085252
15_02,5,27565,25341,2224,8.068202430618538
15_02,9,27565,23160,4405,15.980409940141485
15_02,10,27565,22622,4943,17.932160348267733
16_01,5,5040,4157,883,17.51984126984127
16_01,9,5040,3332,1708,33.888888888888886
16_01,10,5040,3137,1903,37.757936507936506
16_02,5,14293,12980,1313,9.186314979360526
16_02,9,14293,11708,2585,18.085776254110403
16_02,10,14293,11397,2896,20.26166655005947
17_01,5,16821,15484,1337,7.948397836038286
17_01,9,16821,14185,2636,15.67088758099994
17_01,10,16821,13867,2954,17.561381606325426
17_02,5,12235,11172,1063,8.688189619942786
17_02,9,12235,10156,2079,16.992235390273805
17_02,10,12235,9911,2324,18.994687372292603
18_01,5,25793,23665,2128,8.250300469119528
18_01,9,25793,21582,4211,16.326134997867637
18_01,10,25793,21068,4725,18.318923738998954
18_02,5,27474,25246,2228,8.109485331586226
18_02,9,27474,23060,4414,16.06609885710126
18_02,10,27474,22519,4955,18.035233311494505
18_03,5,26969,25337,1632,6.05139233935259
18_03,9,26969,23751,3218,11.932218473061663
18_03,10,26969,23360,3609,13.382031221031555
19_01,5,25119,22798,2321,9.240017516620885
19_01,9,25119,20527,4592,18.280982523189618
19_01,10,25119,19966,5153,20.51435168597476
19_02,5,32703,30270,2433,7.439684432620861
19_02,9,32703,27885,4818,14.732593340060545
19_02,10,32703,27295,5408,16.5367091704125
19_03,5,18367,16385,1982,10.791092720640279
19_03,9,18367,14450,3917,21.326291718843578
19_03,10,18367,13973,4394,23.923340774214623
19_04,5,11294,9878,1416,12.537630600318753
19_04,9,11294,8503,2791,24.71223658579777
19_04,10,11294,8166,3128,27.696121834602444
20_01,5,34480,32159,2321,6.731438515081207
20_01,9,34480,29885,4595,13.326566125290023
20_01,10,34480,29323,5157,14.956496519721577
20_02,5,18690,17142,1548,8.282504012841091
20_02,9,18690,15643,3047,16.30283574103799
20_02,10,18690,15275,3415,18.271803103263778
20_03,5,18368,16834,1534,8.351480836236934
20_03,9,18368,15351,3017,16.42530487804878
20_03,10,18368,14987,3381,18.40701219512195
21_01,5,12783,11599,1184,9.262301494171947
21_01,9,12783,10448,2335,18.266447625752953
21_01,10,12783,10166,2617,20.472502542439177
22_01,5,21689,19591,2098,9.67310618285767
22_01,9,21689,17540,4149,19.129512656185163
22_01,10,21689,17034,4655,21.462492507722807
22_02,5,17843,16134,1709,9.577985764725662
22_02,9,17843,14475,3368,18.875749593678194
22_02,10,17843,14067,3776,21.162360589586953
22_03,5,31973,28515,3458,10.81537547305539
22_03,9,31973,25102,6871,21.490007193569575
22_03,10,31973,24257,7716,24.1328621023989
23_01,5,21879,20390,1489,6.805612687965629
23_01,9,21879,18952,2927,13.378125142831026
23_01,10,21879,18600,3279,14.986973810503223
24_01,5,38254,35512,2742,7.167877868981021
24_01,9,38254,32815,5439,14.218120980812465
24_01,10,38254,32150,6104,15.9565012809118
24_02,5,18878,16898,1980,10.488399194829961
24_02,9,18878,14975,3903,20.67485962496027
24_02,10,18878,14503,4375,23.175124483525796
24_03,5,9157,7956,1201,13.115649230097194
24_03,9,9157,6814,2343,25.586982636234573
24_03,10,9157,6538,2619,28.601070219504205
25_01,5,8401,7486,915,10.891560528508512
25_01,9,8401,6613,1788,21.28318057374122
25_01,10,8401,6401,2000,23.806689679800023
26_01,5,8649,7643,1006,11.631402474274482
26_01,9,8649,6695,1954,22.59220719158284
26_01,10,8649,6468,2181,25.216788067984737
26_02,5,10104,8825,1279,12.658353127474268
26_02,9,10104,7618,2486,24.60411718131433
26_02,10,10104,7329,2775,27.46437054631829
27_01,5,5964,4721,1243,20.84171696847753
27_01,9,5964,3550,2414,40.476190476190474
27_01,10,5964,3267,2697,45.22132796780684
27_02,5,14904,13585,1319,8.849973161567364
27_02,9,14904,12308,2596,17.418142780461622
27_02,10,14904,11995,2909,19.51825013419216
28_01,5,9631,8616,1015,10.538884851001972
28_01,9,9631,7658,1973,20.485930848302356
28_01,10,9631,7428,2203,22.874052538677187
28_02,5,39062,36701,2361,6.044237366238288
28_02,9,39062,34379,4683,11.988633454508218
28_02,10,39062,33805,5257,13.458092263580975
28_03,5,2848,2104,744,26.123595505617978
28_03,9,2848,1415,1433,50.31601123595506
28_03,10,2848,1251,1597,56.074438202247194
29_01,5,14250,12624,1626,11.410526315789474
29_01,9,14250,11064,3186,22.357894736842105
29_01,10,14250,10684,3566,25.024561403508773
29_02,5,24354,22805,1549,6.360351482302701
29_02,9,24354,21304,3050,12.523610084585695
29_02,10,24354,20936,3418,14.034655498070132
29_03,5,23395,21651,1744,7.454584312887369
29_03,9,23395,19946,3449,14.742466338961316
29_03,10,23395,19525,3870,16.54199615302415
29_04,5,38471,36370,2101,5.4612565308934
29_04,9,38471,34343,4128,10.730160380546385
29_04,10,38471,33849,4622,12.01424449585402
30_01,5,28374,26621,1753,6.178191301896102
30_01,9,28374,24915,3459,12.190737999577077
30_01,10,28374,24495,3879,13.670966377669698
30_02,5,18758,17462,1296,6.909052137754558
30_02,9,18758,16201,2557,13.631517219319758
30_02,10,18758,15893,2865,15.273483313786118
31_01,5,34886,32552,2334,6.690362896290775
31_01,9,34886,30298,4588,13.151407441380497
31_01,10,34886,29746,5140,14.733704064667775
32_01,5,8211,7161,1050,12.787723785166241
32_01,9,8211,6160,2051,24.978687127024724
32_01,10,8211,5918,2293,27.92595298989161
33_01,5,10380,9289,1091,10.510597302504816
33_01,9,10380,8244,2136,20.578034682080926
33_01,10,10380,7989,2391,23.034682080924856
33_02,5,9992,9001,991,9.917934347477983
33_02,9,9992,8054,1938,19.395516413130505
33_02,10,9992,7825,2167,21.687349879903923
33_03,5,3585,2913,672,18.744769874476987
33_03,9,3585,2281,1304,36.373779637377964
33_03,10,3585,2129,1456,40.61366806136681
34_01,5,16095,14816,1279,7.946567256912084
34_01,9,16095,13578,2517,15.638397017707362
34_01,10,16095,13274,2821,17.527182354768563
34_03,5,20525,18916,1609,7.839220462850183
34_03,9,20525,17361,3164,15.415347137637028
34_03,10,20525,16981,3544,17.266747868453105
35_01,5,5828,4982,846,14.516129032258064
35_01,9,5828,4184,1644,28.208647906657514
35_01,10,5828,3994,1834,31.468771448181194
35_02,5,10316,9091,1225,11.87475765800698
35_02,9,10316,7910,2406,23.32299340829779
35_02,10,10316,7621,2695,26.124466847615356
36_01,5,21559,20002,1557,7.222041838675263
36_01,9,21559,18500,3059,14.188969803794238
36_01,10,21559,18133,3426,15.891275105524375
36_02,5,10641,9439,1202,11.295930833568274
36_02,9,10641,8280,2361,22.187764307865802
36_02,10,10641,7997,2644,24.847288788647685
37_01,5,37026,34513,2513,6.787122562523632
37_01,9,37026,32065,4961,13.398692810457517
37_01,10,37026,31462,5564,15.027278128882408
37_02,5,24880,23078,1802,7.242765273311897
37_02,9,24880,21324,3556,14.292604501607718
37_02,10,24880,20892,3988,16.028938906752412
37_03,5,14951,13516,1435,9.598020199317771
37_03,9,14951,12129,2822,18.874991639355226
37_03,10,14951,11791,3160,21.135709985954115
38_01,5,17134,15118,2016,11.76607914088946
38_01,9,17134,13152,3982,23.240340842768763
38_01,10,17134,12669,4465,26.059297303606865
38_02,5,22701,20111,2590,11.409189022510022
38_02,9,22701,17583,5118,22.545262323245673
38_02,10,22701,16962,5739,25.28082463327607
39_01,5,30609,28472,2137,6.981606716978666
39_01,9,30609,26376,4233,13.829265902185632
39_01,10,30609,25859,4750,15.518311607697083
40_01,5,8960,7959,1001,11.171875
40_01,9,8960,7010,1950,21.763392857142858
40_01,10,8960,6782,2178,24.308035714285715
40_03,5,7835,6775,1060,13.529036375239311
40_03,9,7835,5763,2072,26.44543714103382
40_03,10,7835,5517,2318,29.585194639438416
41_01,5,29793,27835,1958,6.57201356023227
41_01,9,29793,25918,3875,13.006410901889705
41_01,10,29793,25446,4347,14.590675662068271
41_02,5,23689,22154,1535,6.479800751403605
41_02,9,23689,20663,3026,12.773861285828866
41_02,10,23689,20298,3391,14.314660813035585
42_01,5,12504,11396,1108,8.861164427383237
42_01,9,12504,10325,2179,17.42642354446577
42_01,10,12504,10064,2440,19.513755598208572
42_02,5,19048,17076,1972,10.352792944141116
42_02,9,19048,15150,3898,20.464090718185638
42_02,10,19048,14676,4372,22.952540949181017
42_03,5,16108,14819,1289,8.002234914328284
42_03,9,16108,13580,2528,15.694065060839334
42_03,10,16108,13277,2831,17.57511795381177
43_01,5,24185,22186,1999,8.265453793673764
43_01,9,24185,20229,3956,16.357246227000207
43_01,10,24185,19747,4438,18.350217076700435
43_02,5,22501,20761,1740,7.732989644904671
43_02,9,22501,19069,3432,15.25265543753611
43_02,10,22501,18654,3847,17.097017910315095
44_01,5,10851,9769,1082,9.971431204497282
44_01,9,10851,8733,2118,19.518938346696157
44_01,10,10851,8481,2370,21.841304948852642
45_01,5,20533,18395,2138,10.412506696537282
45_01,9,20533,16320,4213,20.518190230360883
45_01,10,20533,15811,4722,22.997126576730142
45_02,5,14047,12583,1464,10.422154196625614
45_02,9,14047,11159,2888,20.559550081868014
45_02,10,14047,10809,3238,23.051185306471133
45_03,5,10400,9382,1018,9.788461538461538
45_03,9,10400,8411,1989,19.125
45_03,10,10400,8176,2224,21.384615384615383
46_01,5,12203,10793,1410,11.554535769892649
46_01,9,12203,9474,2729,22.363353273785133
46_01,10,12203,9161,3042,24.92829632057691
46_02,5,22719,21316,1403,6.17544786302214
46_02,9,22719,19953,2766,12.174831638716492
46_02,10,22719,19619,3100,13.644966767903517
46_03,5,18933,17258,1675,8.846986742724344
46_03,9,18933,15649,3284,17.3453757988697
46_03,10,18933,15255,3678,19.426398352083663
48_01,5,10692,9678,1014,9.483726150392817
48_01,9,10692,8706,1986,18.57463524130191
48_01,10,10692,8469,2223,20.791245791245792
48_02,5,29800,26903,2897,9.721476510067115
48_02,9,29800,24063,5737,19.251677852348994
48_02,10,29800,23362,6438,21.604026845637584
49_01,5,12141,10938,1203,9.908574252532741
49_01,9,12141,9779,2362,19.454740136726794
49_01,10,12141,9497,2644,21.777448315624742
50_01,5,20977,19090,1887,8.99556657291319
50_01,9,20977,17286,3691,17.595461696143396
50_01,10,20977,16847,4130,19.688229966153408
51_01,5,8244,7333,911,11.050460941290636
51_01,9,8244,6467,1777,21.555070354196992
51_01,10,8244,6257,1987,24.102377486656962
52_01,5,24446,22558,1888,7.723144890779678
52_01,9,24446,20716,3730,15.258119937822139
52_01,10,24446,20262,4184,17.11527448253293
52_02,5,20226,18917,1309,6.471867892811233
52_02,9,20226,17658,2568,12.696529219816078
52_02,10,20226,17349,2877,14.224265796499555
52_03,5,14357,12810,1547,10.775231594344222
52_03,9,14357,11317,3040,21.17434004318451
52_03,10,14357,10952,3405,23.716653897053703
53_01,5,12494,11029,1465,11.725628301584761
53_01,9,12494,9631,2863,22.914999199615817
53_01,10,12494,9293,3201,25.6202977429166
53_02,5,8018,6994,1024,12.771264654527313
53_02,9,8018,6034,1984,24.74432526814667
53_02,10,8018,5802,2216,27.637814916438014
53_03,5,25655,23950,1705,6.645877996491912
53_03,9,25655,22286,3369,13.131943091015396
53_03,10,25655,21876,3779,14.730072110699668
54_01,5,10801,9786,1015,9.397278029812055
54_01,9,10801,8815,1986,18.387186371632257
54_01,10,10801,8578,2223,20.58142764558837
54_02,5,14157,12790,1367,9.656000565091475
54_02,9,14157,11551,2606,18.407854771491134
54_02,10,14157,11254,2903,20.505756869393235
55_01,5,16164,14247,1917,11.859688195991092
55_01,9,16164,12386,3778,23.372927493194755
55_01,10,16164,11929,4235,26.20019797079931
55_02,5,3811,3214,597,15.665179742849645
55_02,9,3811,2661,1150,30.175806874836002
55_02,10,3811,2529,1282,33.63946470742587
55_03,5,15526,13932,1594,10.266649491176091
55_03,9,15526,12383,3143,20.24346257889991
55_03,10,15526,12004,3522,22.684529176864615
56_01,5,23408,21672,1736,7.416267942583732
56_01,9,23408,19977,3431,14.657382091592618
56_01,10,23408,19559,3849,16.443096377306905
56_02,5,58715,55790,2925,4.981691220301456
56_02,9,58715,52919,5796,9.87141275653581
56_02,10,58715,52209,6506,11.08064378778847
56_03,5,8421,6922,1499,17.800736254601592
56_03,9,8421,5474,2947,34.995843724023274
56_03,10,8421,5120,3301,39.199619997624986
